original_name_no_ext,new_name_no_ext
AC4213666,BDMAP_00160007
AC4213725,BDMAP_00160118
AC42137c0,BDMAP_00160147
AC42137c6,BDMAP_00160150
AC42137c7,BDMAP_00160151
AC42137f2,BDMAP_00160182
AC421382d,BDMAP_00160225
AC4213831,BDMAP_00160229
AC421383a,BDMAP_00160236
AC4213850,BDMAP_00160252
AC4213859,BDMAP_00160258
AC421388c,BDMAP_00160293
AC421388d,BDMAP_00160294
AC421388f,BDMAP_00160295
AC4213895,BDMAP_00160298
AC421389b,BDMAP_00160302
AC421389f,BDMAP_00160304
AC4213906,BDMAP_00160374
AC421394d,BDMAP_00160429
AC4213964,BDMAP_00160444
AC421396a,BDMAP_00160450
AC421398d,BDMAP_00160476
AC4213a15,BDMAP_00160574
AC4213a1b,BDMAP_00160579
AC4213dd9,BDMAP_00160584
AC4213dda,BDMAP_00160585
AC4213de9,BDMAP_00160595
AC4213dff,BDMAP_00160613
AC4213e05,BDMAP_00160618
AC4213e1b,BDMAP_00160637
AC4213e26,BDMAP_00160645
AC4213e49,BDMAP_00160670
AC4213e54,BDMAP_00160678
AC4213e6b,BDMAP_00160693
AC4213e7a,BDMAP_00160702
AC4213e7e,BDMAP_00160705
AC4213e97,BDMAP_00160725
AC4213ea4,BDMAP_00160734
AC4213eba,BDMAP_00160749
AC4213ec6,BDMAP_00160755
AC4213f06,BDMAP_00160802
AC4213f17,BDMAP_00160816
AC4213f24,BDMAP_00160826
AC4213f42,BDMAP_00160849
AC4213f5e,BDMAP_00160870
AC4213f60,BDMAP_00160872
AC4213f8f,BDMAP_00160906
AC4213fa4,BDMAP_00160920
AC4213fac,BDMAP_00160925
AC4213ffd,BDMAP_00160983
AC4214000,BDMAP_00160985
AC4214013,BDMAP_00160998
AC4214028,BDMAP_00161011
AC421402f,BDMAP_00161017
AC421404a,BDMAP_00161038
AC421405f,BDMAP_00161052
AC4214068,BDMAP_00161058
AC4214069,BDMAP_00161059
AC4214073,BDMAP_00161065
AC42140a4,BDMAP_00161090
AC42140b4,BDMAP_00161101
AC42140c9,BDMAP_00161115
AC42140d4,BDMAP_00161124
AC421412d,BDMAP_00161196
AC4214149,BDMAP_00161216
AC421414f,BDMAP_00161221
AC421417f,BDMAP_00161258
AC421418e,BDMAP_00161268
AC4214199,BDMAP_00161276
AC42141ba,BDMAP_00161299
AC421454f,BDMAP_00161304
AC4214597,BDMAP_00161349
AC42145b0,BDMAP_00161370
AC42145b7,BDMAP_00161376
AC42145c9,BDMAP_00161389
AC42145e8,BDMAP_00161409
AC4214655,BDMAP_00161484
AC4214693,BDMAP_00161526
AC42146a1,BDMAP_00161538
AC42146a8,BDMAP_00161543
AC42146cc,BDMAP_00161569
AC42146d3,BDMAP_00161573
AC42146d4,BDMAP_00161574
AC4214707,BDMAP_00161610
AC4214709,BDMAP_00161612
AC4214730,BDMAP_00161641
AC421473e,BDMAP_00161652
AC421474e,BDMAP_00161664
AC4214750,BDMAP_00161665
AC4214754,BDMAP_00161668
AC4214758,BDMAP_00161672
AC4214771,BDMAP_00161688
AC421479b,BDMAP_00161720
AC42147d0,BDMAP_00161760
AC42147dd,BDMAP_00161772
AC42147e3,BDMAP_00161776
AC42147e7,BDMAP_00161780
AC42147eb,BDMAP_00161782
AC42147f4,BDMAP_00161788
AC42147f7,BDMAP_00161790
AC4214817,BDMAP_00161811
AC4214821,BDMAP_00161819
AC421483d,BDMAP_00161842
AC4214841,BDMAP_00161845
AC4214845,BDMAP_00161848
AC4214848,BDMAP_00161851
AC4214883,BDMAP_00161892
AC4214887,BDMAP_00161895
AC42148f1,BDMAP_00161980
AC42148fd,BDMAP_00161988
AC4214cba,BDMAP_00162025
AC4214d13,BDMAP_00162077
AC4214d15,BDMAP_00162079
AC4214d32,BDMAP_00162098
